BEGIN METADATA
MAG and SWEPAM 64-second Averaged IMF and Solar Wind Ion Parameters
Data downloaded from ACE Science Center on Sat Apr 17 07:03:16 2021
MAG/SWEPAM Team Software Version: 2.0
MAG/SWEPAM Team Time/Date Processed: 


Note: All timestamps are UT, and refer to the start of the time period.
year,day,hr,min,sec: year, day of year, hour of day, minutes, seconds.
fp_year       : fractional year.
fp_doy        : fractional day-of-year.
ACEepoch      : seconds since Jan 1 00:00:00 UT 1996.
Np            : Proton Density (cm^-3).
Tp            : Radial Component of proton temperature (deg. Kelvin).
Alpha_ratio   : Ratio of alphas/protons
Vp            : Proton Speed (km/s)
r,t,n_dot_RTN : R,T,N-component of proton velocity in RTN coordinates (km/s)
x,y,z_dot_GSE : X,Y,Z-component of proton velocity in GSE coordinates (km/s)
x,y,z_dot_GSM : X,Y,Z-component of proton velocity in GSM coordinates (km/s)
Br            : R-component of mag. field in RTN (nT).
Bt            : T-component of mag. field in RTN (nT).
Bn            : N-component of mag. field in RTN (nT).
Bgse_x        : X-component of mag. field in GSE (nT).
Bgse_y        : Y-component of mag. field in GSE (nT).
Bgse_z        : Z-component of mag. field in GSE (nT).
Bgsm_x        : X-component of mag. field in GSM (nT).
Bgsm_y        : Y-component of mag. field in GSM (nT).
Bgsm_z        : Z-component of mag. field in GSM (nT).
Bmag          : <|B|> magnetic field magnitude (nT).
Lambda        : mag. field longitude in RTN (0 to 360 degrees).
Delta         : mag. field latitude in RTN (-90 to 90 degrees).
dBrms         : RMS values of underlying high-resolution measurements (nT).
pos_gse_x,y,z : Components of spacecraft position in GSE (km).
pos_gsm_x,y,z : Components of spacecraft position in GSM (km).
pos_hs_x,y,z  : Components of spacecraft position in HS (km).
MAG_pts       : Number of hi-res (16-sec) MAG measurements included in the average.
A value of -9999.9 indicates bad or missing data.

More Documentation of the ACE SWEPAM level 2 data is at this web site:
http://www.srl.caltech.edu/ACE/ASC/level2/swepam_l2desc.html
More Documentation of the ACE MAG level 2 data is at this web site:
http://www.srl.caltech.edu/ACE/ASC/level2/mag_l2desc.html

year fp_year fp_doy Np Tp Alpha_ratio Vp V_gsm_x V_gsm_y V_gsm_z B_gsm_x B_gsm_y B_gsm_z 
BEGIN DATA
2005 2005.05205499  20.000070      0.539  5.9531e+04     0.0820    716.36   -713.91    -52.34     28.05   -6.303    3.480    2.506
2005 2005.05205701  20.000810      0.567  7.8348e+04     0.0688    717.60   -715.30    -52.47     23.74   -6.203    3.581    2.659
2005 2005.05205904  20.001551      0.576  4.5391e+04     0.0750    715.69   -713.13    -55.72     24.02   -6.467    3.464    2.416
2005 2005.05206107  20.002292      0.482  6.6030e+04     0.0753    720.41   -717.67    -55.77     29.15   -6.331    3.291    2.804
2005 2005.05206310  20.003033      0.539  5.3531e+04     0.0706    715.35   -712.73    -55.89     25.32   -6.343    3.044    3.020
2005 2005.05206513  20.003773      0.472  6.1442e+04     0.0795    717.98   -715.50    -55.20     23.09   -6.457    2.786    3.104
2005 2005.05206716  20.004514      0.554  4.0974e+04     0.0682    713.91   -711.28    -58.27     19.26   -6.471    2.591    3.302
2005 2005.05206919  20.005255      0.484  6.1458e+04     0.0822    716.93   -714.41    -52.24     30.29   -6.266    2.770    3.452
2005 2005.05207122  20.005996      0.589  4.3401e+04     0.0779    710.06   -707.68    -51.76     27.10   -6.000    2.979    3.647
2005 2005.05207325  20.006736  -9999.900 -9.9999e+03 -9999.9004  -9999.90  -9999.90  -9999.90  -9999.90   -6.001    3.153    3.588
2005 2005.05207528  20.007477      0.375  6.8447e+04     0.1123    721.22   -718.42    -52.75     36.06   -6.161    3.020    3.327
2005 2005.05207731  20.008218      0.474  4.3127e+04     0.0855    715.86   -713.05    -59.12     23.41   -5.966    3.300    3.374
2005 2005.05207934  20.008959      0.394  7.2304e+04     0.0930    723.20   -720.16    -58.70     31.39   -5.967    3.679    2.904
2005 2005.05208137  20.009699      0.405  7.2279e+04     0.0942    715.51   -711.82    -61.93     38.70   -6.008    3.719    2.678
2005 2005.05208340  20.010440      0.338  6.6869e+04     0.1021    719.78   -716.41    -60.58     35.06   -6.226    3.320    2.739
2005 2005.05208543  20.011181      0.385  8.5168e+04     0.1029    716.19   -710.23    -80.52     45.59   -6.320    3.205    2.487
2005 2005.05208745  20.011921      0.352  8.9664e+04     0.1306    719.61   -716.41    -55.47     39.76   -6.320    3.065    2.541
