Selected parameters:
 1 AL-index, nT
 2 AU-index, nT
 3 SYM/H, nT
 4 PCN-index

YYYY DOY HR MN    1     2     3      4 
2005  21  0  0   -60   101   -25  -0.23
2005  21  0  1   -62    98   -25  -0.23
2005  21  0  2   -67    92   -25  -0.13
2005  21  0  3   -79    86   -25   0.05
2005  21  0  4   -89    86   -25   0.30
2005  21  0  5   -95    87   -25   0.57
2005  21  0  6   -91    87   -25   0.73
2005  21  0  7   -88    91   -24   0.71
2005  21  0  8   -95    92   -24   0.59
2005  21  0  9  -100    94   -24   0.43
2005  21  0 10   -96    95   -24   0.38
2005  21  0 11   -92    92   -24   0.49
2005  21  0 12   -94    90   -24   0.66
2005  21  0 13   -92    88   -25   0.78
2005  21  0 14   -98    82   -25   0.89
2005  21  0 15   -95    81   -25   0.90
2005  21  0 16   -80    80   -25   1.01
2005  21  0 17  -103    71   -25   1.09
2005  21  0 18  -105    71   -25   1.05
2005  21  0 19   -81    74   -25   0.97
2005  21  0 20   -76    77   -25   0.90
2005  21  0 21   -91    82   -25   0.83
2005  21  0 22  -114    87   -25   0.65
2005  21  0 23   -80    86   -24   0.46
2005  21  0 24   -51    83   -24   0.41
2005  21  0 25   -67    55   -24   0.62
2005  21  0 26  -113    44   -23   0.89
2005  21  0 27  -162    70   -23   1.14
2005  21  0 28  -204    88   -24   1.27
2005  21  0 29  -220    50   -24   1.41
2005  21  0 30  -252    74   -24   1.62
2005  21  0 31  -249   122   -24   1.59
2005  21  0 32  -259   128   -24   1.64
2005  21  0 33  -307   196   -24   1.90
2005  21  0 34  -324   209   -24   2.09
2005  21  0 35  -314   148   -24   2.01
2005  21  0 36  -303    73   -24   1.91
2005  21  0 37  -299    74   -25   2.02
2005  21  0 38  -291    78   -26   2.28
2005  21  0 39  -270    77   -26   2.18
2005  21  0 40  -277    73   -26   1.94
2005  21  0 41  -288    66   -26   1.64
2005  21  0 42  -290    56   -25   1.56
2005  21  0 43  -288    65   -25   1.62
2005  21  0 44  -280    65   -25   1.67
2005  21  0 45  -269    60   -25   1.62
2005  21  0 46  -271    51   -25   1.55
2005  21  0 47  -253    53   -26   1.47
2005  21  0 48  -220    86   -26   1.44
2005  21  0 49  -225    93   -26   1.44
2005  21  0 50  -223    84   -25   1.38
2005  21  0 51  -220    83   -25   1.64
2005  21  0 52  -227    92   -26   1.79
2005  21  0 53  -233    78   -26   2.12
2005  21  0 54  -234    64   -25   2.34
2005  21  0 55  -226    70   -25   2.53
2005  21  0 56  -218    50   -25   2.59
2005  21  0 57  -214    29   -25   2.69
2005  21  0 58  -225    27   -25   2.75
2005  21  0 59  -236    40   -25   2.88
2005  21  1  0  -241    38   -25   2.87
2005  21  1  1  -223    50   -25   3.16
2005  21  1  2  -229    74   -24   3.52
2005  21  1  3  -240    64   -24   3.91
2005  21  1  4  -231    51   -23   4.13
2005  21  1  5  -237    49   -23   4.01
2005  21  1  6  -235    61   -23   3.95
2005  21  1  7  -241    61   -23   3.93
2005  21  1  8  -246    63   -23   3.77
2005  21  1  9  -246    67   -24   3.78
2005  21  1 10  -219    62   -23   3.55
2005  21  1 11  -224    62   -23   3.51
2005  21  1 12  -204    67   -23   3.38
2005  21  1 13  -206    74   -23   3.58
2005  21  1 14  -197    75   -22   3.67
2005  21  1 15  -189    70   -23   3.69
2005  21  1 16  -170    65   -22   3.59
2005  21  1 17  -164    65   -22   3.21
2005  21  1 18  -158    62   -22   3.14
2005  21  1 19  -158    60   -22   3.09
2005  21  1 20  -159    53   -21   2.88
2005  21  1 21  -149    55   -21   2.77
2005  21  1 22  -144    51   -21   2.78
2005  21  1 23  -155    59   -21   2.59
2005  21  1 24  -160    42   -20   2.82
2005  21  1 25  -167    49   -20   3.16
2005  21  1 26  -131    54   -21   3.20
2005  21  1 27  -104    54   -21   3.09
2005  21  1 28  -101    66   -21   2.88
2005  21  1 29  -128    75   -21   2.41
2005  21  1 30  -119    92   -21   1.99
2005  21  1 31   -91   108   -20   1.30
2005  21  1 32   -74   108   -19   0.70
2005  21  1 33   -85    88   -19   0.85
2005  21  1 34  -105    79   -19   1.04
2005  21  1 35  -115    66   -20   1.24
2005  21  1 36   -96    58   -20   1.93
2005  21  1 37  -139    70   -20   2.19
2005  21  1 38  -183    76   -21   2.20
2005  21  1 39  -154    68   -21   2.04
2005  21  1 40  -122    69   -20   2.01
2005  21  1 41  -109    81   -21   2.58
2005  21  1 42  -133    72   -21   2.94
2005  21  1 43  -190    67   -21   2.82
2005  21  1 44  -177    65   -21   2.82
2005  21  1 45  -162    65   -22   2.68
2005  21  1 46  -143    75   -21   2.56
2005  21  1 47  -133    70   -21   2.57
2005  21  1 48  -196    72   -21   2.41
2005  21  1 49  -182    68   -22   2.29
2005  21  1 50  -144    71   -22   2.28
2005  21  1 51  -149    75   -22   2.19
2005  21  1 52  -217    81   -22   2.25
2005  21  1 53  -192    83   -22   2.07
2005  21  1 54  -125    86   -23   1.81
2005  21  1 55  -139    86   -23   1.57
2005  21  1 56  -157    86   -24   1.34
2005  21  1 57  -157    84   -24   1.23
2005  21  1 58  -131    84   -24   1.20
2005  21  1 59  -109    84   -24   1.40
2005  21  2  0   -94    86   -24   1.64
2005  21  2  1   -81    85   -24   1.44
2005  21  2  2   -64    82   -24   1.32
2005  21  2  3   -61    80   -23   1.21
2005  21  2  4   -45    76   -23   1.17
2005  21  2  5   -44    74   -23   1.12
2005  21  2  6   -42    75   -23   1.17
2005  21  2  7   -76    76   -23   1.18
2005  21  2  8   -58    83   -24   0.95
2005  21  2  9   -46    85   -23   0.73
2005  21  2 10   -45    84   -23   0.72
2005  21  2 11   -55    83   -23   0.87
2005  21  2 12   -71    84   -23   0.81
2005  21  2 13   -71    82   -23   0.85
2005  21  2 14   -43    78   -23   0.91
2005  21  2 15   -43    71   -23   0.70
2005  21  2 16   -57    68   -23   0.66
2005  21  2 17   -56    68   -22   0.57
2005  21  2 18   -65    64   -22   0.22
2005  21  2 19   -49    64   -22   0.17
2005  21  2 20   -58    67   -23   0.18
2005  21  2 21   -77    67   -23   0.20
2005  21  2 22   -55    71   -23   0.14
2005  21  2 23   -43    74   -23   0.19
2005  21  2 24   -43    71   -23   0.28
2005  21  2 25   -76    66   -23   0.40
2005  21  2 26   -80    66   -23   0.41
2005  21  2 27   -74    64   -23   0.43
2005  21  2 28   -51    61   -23   0.30
2005  21  2 29   -53    61   -23   0.17
2005  21  2 30   -56    65   -23   0.04
2005  21  2 31   -67    55   -23  -0.14
2005  21  2 32   -64    53   -23  -0.06
2005  21  2 33   -79    55   -23   0.04
2005  21  2 34  -100    59   -23   0.11
2005  21  2 35   -85    69   -23   0.18
2005  21  2 36   -61    78   -23   0.05
2005  21  2 37   -41    68   -23   0.20
2005  21  2 38   -64    74   -23   0.57
2005  21  2 39   -61    62   -23   0.82
2005  21  2 40   -62    67   -23   0.66
2005  21  2 41   -53    85   -23   0.60
2005  21  2 42   -25    84   -23   0.44
2005  21  2 43   -18    70   -23   0.37
2005  21  2 44   -17    74   -23   0.21
2005  21  2 45   -40    85   -22   0.38
2005  21  2 46   -53    77   -22   0.48
2005  21  2 47   -19    67   -23   0.61
2005  21  2 48   -14    67   -22   0.92
2005  21  2 49   -18    51   -22   1.03
2005  21  2 50   -19    80   -22   0.93
2005  21  2 51   -18    97   -23   1.15
2005  21  2 52   -16    73   -23   1.45
2005  21  2 53   -10    84   -23   1.40
2005  21  2 54    -9    90   -23   1.37
2005  21  2 55   -11    90   -23   1.34
2005  21  2 56   -11    96   -23   1.33
2005  21  2 57    -9    74   -23   1.32
2005  21  2 58   -17    69   -23   1.45
2005  21  2 59   -22    80   -23   1.74
2005  21  3  0   -20    78   -23   2.05
2005  21  3  1   -11    88   -23   1.95
2005  21  3  2    -6   115   -23   1.81
2005  21  3  3    -7    80   -23   1.74
2005  21  3  4   -10    71   -23   1.98
